2025-06-04 15:01:57,977 INFO  SimulationFacade - Removed vehicle "veh_6" at simulation time 175000000000ns
2025-06-04 15:01:58,042 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:58,042 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-06-04 15:01:58,058 INFO  SimulationFacade - Removed vehicle "veh_8" at simulation time 178000000000ns
2025-06-04 15:01:58,069 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_34" received at simulation time 179857142845 ns (subscribe=true)
2025-06-04 15:01:58,069 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_35" received at simulation time 179857142845 ns (subscribe=true)
2025-06-04 15:01:58,076 INFO  SumoAmbassador - Adding new vehicle "veh_34" at simulation time 179857142845 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:58,077 INFO  SumoAmbassador - Adding new vehicle "veh_35" at simulation time 179857142845 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:58,164 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_36" received at simulation time 190142857130 ns (subscribe=true)
2025-06-04 15:01:58,164 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_37" received at simulation time 190142857130 ns (subscribe=true)
2025-06-04 15:01:58,170 INFO  SumoAmbassador - Adding new vehicle "veh_36" at simulation time 190142857130 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:58,171 INFO  SumoAmbassador - Adding new vehicle "veh_37" at simulation time 190142857130 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:58,270 INFO  SimulationFacade - Removed vehicle "veh_12" at simulation time 197000000000ns
2025-06-04 15:01:58,283 INFO  SimulationFacade - Removed vehicle "veh_14" at simulation time 199000000000ns
2025-06-04 15:01:58,295 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_38" received at simulation time 200428571415 ns (subscribe=true)
2025-06-04 15:01:58,295 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_39" received at simulation time 200428571415 ns (subscribe=true)
2025-06-04 15:01:58,301 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:58,301 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-06-04 15:01:58,302 INFO  SumoAmbassador - Adding new vehicle "veh_38" at simulation time 200428571415 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:58,303 INFO  SumoAmbassador - Adding new vehicle "veh_39" at simulation time 200428571415 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:58,447 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_40" received at simulation time 210714285700 ns (subscribe=true)
2025-06-04 15:01:58,447 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_41" received at simulation time 210714285700 ns (subscribe=true)
2025-06-04 15:01:58,454 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:58,454 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-06-04 15:01:58,455 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:58,455 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-06-04 15:01:58,457 INFO  SumoAmbassador - Adding new vehicle "veh_40" at simulation time 210714285700 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:58,458 INFO  SumoAmbassador - Adding new vehicle "veh_41" at simulation time 210714285700 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:58,544 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_42" received at simulation time 220999999985 ns (subscribe=true)
2025-06-04 15:01:58,544 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_43" received at simulation time 220999999985 ns (subscribe=true)
2025-06-04 15:01:58,552 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-06-04 15:01:58,552 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-06-04 15:01:58,553 INFO  SumoAmbassador - Adding new vehicle "veh_42" at simulation time 220999999985 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-06-04 15:01:58,554 INFO  SumoAmbassador - Adding new vehicle "veh_43" at simulation time 220999999985 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-06-04 15:01:58,740 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_44" received at simulation time 231285714270 ns (subscribe=true)
