2025-06-06 16:07:50,741 INFO  - Sent aggregated data: r_0=1 (4.15 m/s), r_1=4 (0.00 m/s) (at simulation time 110.000,000,000 s)
2025-06-06 16:07:50,745 INFO  - Forwarded metrics to vehicles: avgR0=1.0, avgR1=1.5454545454545454 (at simulation time 110.002,800,000 s)
2025-06-06 16:07:50,762 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.0 (at simulation time 113.000,400,000 s)
2025-06-06 16:07:50,762 INFO  - Sent ACK to veh_13 (at simulation time 113.000,400,000 s)
2025-06-06 16:07:50,762 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 113.000,900,000 s)
2025-06-06 16:07:50,762 INFO  - Sent ACK to veh_11 (at simulation time 113.000,900,000 s)
2025-06-06 16:07:50,762 INFO  - Received GreenWaveMsg from veh_14 on route r_0 with speed 6.856445970786327 (at simulation time 113.000,900,000 s)
2025-06-06 16:07:50,762 INFO  - Sent ACK to veh_14 (at simulation time 113.000,900,000 s)
2025-06-06 16:07:50,762 INFO  - Received GreenWaveMsg from veh_15 on route r_1 with speed 0.0 (at simulation time 113.000,900,000 s)
2025-06-06 16:07:50,762 INFO  - Sent ACK to veh_15 (at simulation time 113.000,900,000 s)
2025-06-06 16:07:50,764 INFO  - TrafficLight   set to REd. (at simulation time 113.005,200,000 s)
2025-06-06 16:07:50,769 INFO  - Received GreenWaveMsg from veh_17 on route r_1 with speed 0.0 (at simulation time 114.001,400,000 s)
2025-06-06 16:07:50,769 INFO  - Sent program 2 to TrafficLight (at simulation time 114.001,400,000 s)
2025-06-06 16:07:50,769 INFO  - Sent ACK to veh_17 (at simulation time 114.001,400,000 s)
2025-06-06 16:07:50,794 INFO  - Received GreenWaveMsg from veh_15 on route r_1 with speed 0.0 (at simulation time 118.000,900,000 s)
2025-06-06 16:07:50,794 INFO  - Sent ACK to veh_15 (at simulation time 118.000,900,000 s)
2025-06-06 16:07:50,794 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.0 (at simulation time 118.001,900,000 s)
2025-06-06 16:07:50,794 INFO  - Sent ACK to veh_13 (at simulation time 118.001,900,000 s)
2025-06-06 16:07:50,794 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 118.002,400,000 s)
2025-06-06 16:07:50,794 INFO  - Sent ACK to veh_11 (at simulation time 118.002,400,000 s)
2025-06-06 16:07:50,800 INFO  - Received GreenWaveMsg from veh_16 on route r_0 with speed 6.855648380482794 (at simulation time 119.001,400,000 s)
2025-06-06 16:07:50,800 INFO  - Sent ACK to veh_16 (at simulation time 119.001,400,000 s)
2025-06-06 16:07:50,800 INFO  - Ignored message from veh_19 (distance 16.43 > 15.0) (at simulation time 119.001,400,000 s)
2025-06-06 16:07:50,800 INFO  - Received GreenWaveMsg from veh_17 on route r_1 with speed 0.0 (at simulation time 119.001,900,000 s)
2025-06-06 16:07:50,800 INFO  - Sent ACK to veh_17 (at simulation time 119.001,900,000 s)
2025-06-06 16:07:50,809 INFO  - Sent aggregated data: r_0=2 (6.86 m/s), r_1=4 (0.00 m/s) (at simulation time 120.000,000,000 s)
2025-06-06 16:07:50,813 INFO  - Forwarded metrics to vehicles: avgR0=1.0833333333333333, avgR1=1.75 (at simulation time 120.001,300,000 s)
2025-06-06 16:07:50,834 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.0 (at simulation time 123.000,400,000 s)
2025-06-06 16:07:50,834 INFO  - Sent ACK to veh_13 (at simulation time 123.000,400,000 s)
2025-06-06 16:07:50,834 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 123.001,900,000 s)
2025-06-06 16:07:50,834 INFO  - Sent ACK to veh_11 (at simulation time 123.001,900,000 s)
2025-06-06 16:07:50,834 INFO  - Received GreenWaveMsg from veh_15 on route r_1 with speed 0.0 (at simulation time 123.001,900,000 s)
2025-06-06 16:07:50,834 INFO  - Sent ACK to veh_15 (at simulation time 123.001,900,000 s)
2025-06-06 16:07:50,841 INFO  - Received GreenWaveMsg from veh_17 on route r_1 with speed 0.0 (at simulation time 124.000,400,000 s)
2025-06-06 16:07:50,842 INFO  - Sent ACK to veh_17 (at simulation time 124.000,400,000 s)
2025-06-06 16:07:50,842 INFO  - Received GreenWaveMsg from veh_16 on route r_0 with speed 0.015844590312719113 (at simulation time 124.001,400,000 s)
2025-06-06 16:07:50,842 INFO  - Sent ACK to veh_16 (at simulation time 124.001,400,000 s)
2025-06-06 16:07:50,842 INFO  - Ignored message from veh_19 (distance 16.43 > 15.0) (at simulation time 124.001,900,000 s)
2025-06-06 16:07:50,842 INFO  - Ignored message from veh_21 (distance 15.48 > 15.0) (at simulation time 124.001,900,000 s)
2025-06-06 16:07:50,844 INFO  - TrafficLight   set to REd. (at simulation time 124.004,200,000 s)
2025-06-06 16:07:50,874 INFO  - Received GreenWaveMsg from veh_13 on route r_1 with speed 0.0 (at simulation time 128.000,400,000 s)
2025-06-06 16:07:50,874 INFO  - Sent program 2 to TrafficLight (at simulation time 128.000,400,000 s)
2025-06-06 16:07:50,874 INFO  - Sent ACK to veh_13 (at simulation time 128.000,400,000 s)
2025-06-06 16:07:50,874 INFO  - Received GreenWaveMsg from veh_11 on route r_1 with speed 0.0 (at simulation time 128.001,900,000 s)
2025-06-06 16:07:50,874 INFO  - Sent ACK to veh_11 (at simulation time 128.001,900,000 s)
2025-06-06 16:07:50,875 INFO  - Received GreenWaveMsg from veh_15 on route r_1 with speed 0.0 (at simulation time 128.002,400,000 s)
2025-06-06 16:07:50,875 INFO  - Sent ACK to veh_15 (at simulation time 128.002,400,000 s)
2025-06-06 16:07:50,881 INFO  - Received GreenWaveMsg from veh_16 on route r_0 with speed 0.0 (at simulation time 129.000,400,000 s)
2025-06-06 16:07:50,881 INFO  - Sent ACK to veh_16 (at simulation time 129.000,400,000 s)
2025-06-06 16:07:50,881 INFO  - Received GreenWaveMsg from veh_18 on route r_0 with speed 1.0964646954534982 (at simulation time 129.000,400,000 s)
2025-06-06 16:07:50,881 INFO  - Sent ACK to veh_18 (at simulation time 129.000,400,000 s)
2025-06-06 16:07:50,881 INFO  - Ignored message from veh_21 (distance 15.25 > 15.0) (at simulation time 129.000,900,000 s)
2025-06-06 16:07:50,881 INFO  - Received GreenWaveMsg from veh_17 on route r_1 with speed 0.0 (at simulation time 129.001,900,000 s)
2025-06-06 16:07:50,881 INFO  - Sent ACK to veh_17 (at simulation time 129.001,900,000 s)
2025-06-06 16:07:50,881 INFO  - Ignored message from veh_19 (distance 16.43 > 15.0) (at simulation time 129.001,900,000 s)
2025-06-06 16:07:50,890 INFO  - Sent aggregated data: r_0=2 (0.55 m/s), r_1=3 (0.00 m/s) (at simulation time 130.000,000,000 s)
2025-06-06 16:07:50,895 INFO  - Forwarded metrics to vehicles: avgR0=1.1538461538461537, avgR1=1.8461538461538463 (at simulation time 130.002,800,000 s)
2025-06-06 16:07:50,916 INFO  - Received GreenWaveMsg from veh_15 on route r_1 with speed 7.289617311100947 (at simulation time 133.002,400,000 s)
2025-06-06 16:07:50,916 INFO  - Sent ACK to veh_15 (at simulation time 133.002,400,000 s)
2025-06-06 16:07:50,922 INFO  - Received GreenWaveMsg from veh_19 on route r_1 with speed 7.028369982306431 (at simulation time 134.000,900,000 s)
2025-06-06 16:07:50,923 INFO  - Sent ACK to veh_19 (at simulation time 134.000,900,000 s)
2025-06-06 16:07:50,923 INFO  - Received GreenWaveMsg from veh_20 on route r_0 with speed 7.515029161319405 (at simulation time 134.000,900,000 s)
2025-06-06 16:07:50,923 INFO  - Sent ACK to veh_20 (at simulation time 134.000,900,000 s)
2025-06-06 16:07:50,923 INFO  - Received GreenWaveMsg from veh_21 on route r_1 with speed 7.130016529579758 (at simulation time 134.000,900,000 s)
2025-06-06 16:07:50,923 INFO  - Sent ACK to veh_21 (at simulation time 134.000,900,000 s)
2025-06-06 16:07:50,923 INFO  - Received GreenWaveMsg from veh_18 on route r_0 with speed 0.0 (at simulation time 134.001,900,000 s)
2025-06-06 16:07:50,923 INFO  - Sent ACK to veh_18 (at simulation time 134.001,900,000 s)
2025-06-06 16:07:50,923 INFO  - Received GreenWaveMsg from veh_16 on route r_0 with speed 0.0 (at simulation time 134.002,400,000 s)
2025-06-06 16:07:50,923 INFO  - Sent ACK to veh_16 (at simulation time 134.002,400,000 s)
2025-06-06 16:07:50,931 INFO  - Ignored message from veh_23 (distance 17.43 > 15.0) (at simulation time 135.000,900,000 s)
2025-06-06 16:07:50,953 INFO  - TrafficLight   set to REd. (at simulation time 138.004,200,000 s)
2025-06-06 16:07:50,959 INFO  - Received GreenWaveMsg from veh_16 on route r_0 with speed 0.0 (at simulation time 139.000,400,000 s)
2025-06-06 16:07:50,959 INFO  - Sent program 0 to TrafficLight (at simulation time 139.000,400,000 s)
2025-06-06 16:07:50,959 INFO  - Sent ACK to veh_16 (at simulation time 139.000,400,000 s)
2025-06-06 16:07:50,959 INFO  - Received GreenWaveMsg from veh_18 on route r_0 with speed 0.0 (at simulation time 139.002,400,000 s)
2025-06-06 16:07:50,959 INFO  - Sent ACK to veh_18 (at simulation time 139.002,400,000 s)
2025-06-06 16:07:50,959 INFO  - Received GreenWaveMsg from veh_20 on route r_0 with speed 0.008131633065986792 (at simulation time 139.002,400,000 s)
2025-06-06 16:07:50,959 INFO  - Sent ACK to veh_20 (at simulation time 139.002,400,000 s)
2025-06-06 16:07:50,970 INFO  - Sent aggregated data: r_0=2 (0.00 m/s), r_1=3 (7.15 m/s) (at simulation time 140.000,000,000 s)
2025-06-06 16:07:50,975 INFO  - Forwarded metrics to vehicles: avgR0=1.2142857142857142, avgR1=1.9285714285714286 (at simulation time 140.001,300,000 s)
