2025-05-28 00:33:38,452 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_50" received at simulation time 262142857125 ns (subscribe=true)
2025-05-28 00:33:38,452 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_51" received at simulation time 262142857125 ns (subscribe=true)
2025-05-28 00:33:38,501 INFO  SumoAmbassador - Adding new vehicle "veh_50" at simulation time 262142857125 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:38,502 INFO  SumoAmbassador - Adding new vehicle "veh_51" at simulation time 262142857125 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:39,011 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_52" received at simulation time 272428571410 ns (subscribe=true)
2025-05-28 00:33:39,011 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_53" received at simulation time 272428571410 ns (subscribe=true)
2025-05-28 00:33:39,073 INFO  SumoAmbassador - Adding new vehicle "veh_52" at simulation time 272428571410 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:39,074 INFO  SumoAmbassador - Adding new vehicle "veh_53" at simulation time 272428571410 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:39,076 INFO  SimulationFacade - Removed vehicle "veh_39" at simulation time 274000000000ns
2025-05-28 00:33:39,193 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:39,193 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:33:39,451 INFO  SimulationFacade - Removed vehicle "veh_37" at simulation time 280000000000ns
2025-05-28 00:33:39,514 INFO  SimulationFacade - Removed vehicle "veh_43" at simulation time 281000000000ns
2025-05-28 00:33:39,568 INFO  SimulationFacade - Removed vehicle "veh_41" at simulation time 282000000000ns
2025-05-28 00:33:39,621 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_54" received at simulation time 282714285695 ns (subscribe=true)
2025-05-28 00:33:39,621 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_55" received at simulation time 282714285695 ns (subscribe=true)
2025-05-28 00:33:39,622 INFO  SimulationFacade - Removed vehicle "veh_45" at simulation time 283000000000ns
2025-05-28 00:33:39,674 INFO  SumoAmbassador - Adding new vehicle "veh_54" at simulation time 282714285695 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:39,674 INFO  SumoAmbassador - Adding new vehicle "veh_55" at simulation time 282714285695 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:39,781 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:39,782 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:33:40,195 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_56" received at simulation time 292999999980 ns (subscribe=true)
2025-05-28 00:33:40,195 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_57" received at simulation time 292999999980 ns (subscribe=true)
2025-05-28 00:33:40,261 INFO  SumoAmbassador - Adding new vehicle "veh_56" at simulation time 292999999980 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:40,262 INFO  SumoAmbassador - Adding new vehicle "veh_57" at simulation time 292999999980 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:40,444 INFO  SimulationFacade - Removed vehicle "veh_34" at simulation time 297000000000ns
2025-05-28 00:33:40,444 INFO  SimulationFacade - Removed vehicle "veh_32" at simulation time 297000000000ns
2025-05-28 00:33:40,612 INFO  SimulationFacade - Removed vehicle "veh_36" at simulation time 300000000000ns
