2025-06-06 17:30:50,528 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=2, avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.15 (at simulation time 330.001,400,000 s)
2025-06-06 17:30:50,528 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.15 (at simulation time 330.001,400,000 s)
2025-06-06 17:30:50,566 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=1, avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.12 (at simulation time 340.002,400,000 s)
2025-06-06 17:30:50,566 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.12 (at simulation time 340.002,400,000 s)
2025-06-06 17:30:50,608 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=0, avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.06 (at simulation time 350.002,400,000 s)
2025-06-06 17:30:50,608 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.06 (at simulation time 350.002,400,000 s)
2025-06-06 17:30:50,650 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.11 (at simulation time 360.001,400,000 s)
2025-06-06 17:30:50,650 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.11 (at simulation time 360.001,400,000 s)
2025-06-06 17:30:50,696 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=4, avgRoute0VehicleCount=1.27, avgRoute1VehicleCount=2.16 (at simulation time 370.001,400,000 s)
2025-06-06 17:30:50,696 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.27, avgRoute1VehicleCount=2.16 (at simulation time 370.001,400,000 s)
2025-06-06 17:30:50,752 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=4, avgRoute0VehicleCount=1.29, avgRoute1VehicleCount=2.21 (at simulation time 380.000,400,000 s)
2025-06-06 17:30:50,752 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.29, avgRoute1VehicleCount=2.21 (at simulation time 380.000,400,000 s)
2025-06-06 17:30:50,817 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=2, avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.21 (at simulation time 390.000,400,000 s)
2025-06-06 17:30:50,817 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.21 (at simulation time 390.000,400,000 s)
2025-06-06 17:30:50,889 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=4, route1VehicleCount=0, avgRoute0VehicleCount=1.38, avgRoute1VehicleCount=2.15 (at simulation time 400.000,400,000 s)
2025-06-06 17:30:50,889 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.38, avgRoute1VehicleCount=2.15 (at simulation time 400.000,400,000 s)
2025-06-06 17:30:50,961 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=4, route1VehicleCount=1, avgRoute0VehicleCount=1.44, avgRoute1VehicleCount=2.12 (at simulation time 410.001,400,000 s)
2025-06-06 17:30:50,961 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.44, avgRoute1VehicleCount=2.12 (at simulation time 410.001,400,000 s)
2025-06-06 17:30:51,012 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=2, avgRoute0VehicleCount=1.43, avgRoute1VehicleCount=2.12 (at simulation time 420.001,900,000 s)
2025-06-06 17:30:51,012 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.43, avgRoute1VehicleCount=2.12 (at simulation time 420.001,900,000 s)
2025-06-06 17:30:51,060 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=0, avgRoute0VehicleCount=1.44, avgRoute1VehicleCount=2.07 (at simulation time 430.002,400,000 s)
2025-06-06 17:30:51,060 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.44, avgRoute1VehicleCount=2.07 (at simulation time 430.002,400,000 s)
2025-06-06 17:30:51,110 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.43, avgRoute1VehicleCount=2.11 (at simulation time 440.002,400,000 s)
2025-06-06 17:30:51,110 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.43, avgRoute1VehicleCount=2.11 (at simulation time 440.002,400,000 s)
2025-06-06 17:30:51,161 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.42, avgRoute1VehicleCount=2.16 (at simulation time 450.001,900,000 s)
2025-06-06 17:30:51,161 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.42, avgRoute1VehicleCount=2.16 (at simulation time 450.001,900,000 s)
2025-06-06 17:30:51,222 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=3, avgRoute0VehicleCount=1.41, avgRoute1VehicleCount=2.17 (at simulation time 460.000,400,000 s)
2025-06-06 17:30:51,222 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.41, avgRoute1VehicleCount=2.17 (at simulation time 460.000,400,000 s)
2025-06-06 17:30:51,294 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=2, avgRoute0VehicleCount=1.40, avgRoute1VehicleCount=2.17 (at simulation time 470.001,400,000 s)
2025-06-06 17:30:51,294 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.40, avgRoute1VehicleCount=2.17 (at simulation time 470.001,400,000 s)
2025-06-06 17:30:51,380 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=0, avgRoute0VehicleCount=1.42, avgRoute1VehicleCount=2.13 (at simulation time 480.002,400,000 s)
2025-06-06 17:30:51,380 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.42, avgRoute1VehicleCount=2.13 (at simulation time 480.002,400,000 s)
2025-06-06 17:30:51,456 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=1, avgRoute0VehicleCount=1.39, avgRoute1VehicleCount=2.10 (at simulation time 490.001,400,000 s)
2025-06-06 17:30:51,456 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.39, avgRoute1VehicleCount=2.10 (at simulation time 490.001,400,000 s)
2025-06-06 17:30:51,516 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=2, avgRoute0VehicleCount=1.38, avgRoute1VehicleCount=2.10 (at simulation time 500.000,400,000 s)
2025-06-06 17:30:51,516 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.38, avgRoute1VehicleCount=2.10 (at simulation time 500.000,400,000 s)
2025-06-06 17:30:51,553 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=1, avgRoute0VehicleCount=1.37, avgRoute1VehicleCount=2.08 (at simulation time 510.000,400,000 s)
2025-06-06 17:30:51,553 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.37, avgRoute1VehicleCount=2.08 (at simulation time 510.000,400,000 s)
2025-06-06 17:30:51,583 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=0, avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.04 (at simulation time 520.001,900,000 s)
2025-06-06 17:30:51,583 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.04 (at simulation time 520.001,900,000 s)
2025-06-06 17:30:51,620 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.34, avgRoute1VehicleCount=2.08 (at simulation time 530.001,900,000 s)
2025-06-06 17:30:51,620 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.34, avgRoute1VehicleCount=2.08 (at simulation time 530.001,900,000 s)
2025-06-06 17:30:51,663 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.11 (at simulation time 540.000,900,000 s)
2025-06-06 17:30:51,663 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.11 (at simulation time 540.000,900,000 s)
2025-06-06 17:30:51,719 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=4, avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.15 (at simulation time 550.001,400,000 s)
2025-06-06 17:30:51,719 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=2.15 (at simulation time 550.001,400,000 s)
2025-06-06 17:30:51,775 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=0, avgRoute0VehicleCount=1.30, avgRoute1VehicleCount=2.11 (at simulation time 560.002,400,000 s)
2025-06-06 17:30:51,775 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.30, avgRoute1VehicleCount=2.11 (at simulation time 560.002,400,000 s)
2025-06-06 17:30:51,835 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=0, avgRoute0VehicleCount=1.32, avgRoute1VehicleCount=2.07 (at simulation time 570.000,900,000 s)
2025-06-06 17:30:51,835 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.32, avgRoute1VehicleCount=2.07 (at simulation time 570.000,900,000 s)
2025-06-06 17:30:51,887 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=3, route1VehicleCount=2, avgRoute0VehicleCount=1.34, avgRoute1VehicleCount=2.07 (at simulation time 580.000,900,000 s)
2025-06-06 17:30:51,887 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.34, avgRoute1VehicleCount=2.07 (at simulation time 580.000,900,000 s)
2025-06-06 17:30:51,929 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=2, avgRoute0VehicleCount=1.36, avgRoute1VehicleCount=2.07 (at simulation time 590.001,900,000 s)
2025-06-06 17:30:51,929 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.36, avgRoute1VehicleCount=2.07 (at simulation time 590.001,900,000 s)
2025-06-06 17:30:51,965 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=3, avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.08 (at simulation time 600.002,400,000 s)
2025-06-06 17:30:51,965 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.35, avgRoute1VehicleCount=2.08 (at simulation time 600.002,400,000 s)
2025-06-06 17:30:52,001 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=3, avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.10 (at simulation time 610.001,900,000 s)
2025-06-06 17:30:52,001 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.33, avgRoute1VehicleCount=2.10 (at simulation time 610.001,900,000 s)
